436,13707,0,1963,2017/9/12,TRUE,1,110,0,0,WY160648585585,Maisui-04000325,c7:9d:c7:64:5d:60,1,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_LH_8_MiddleValue.jpg,2C00010001
683,13709,0,1973,2017/9/8,FALSE,1,36,36,78,WY120911039734,Maisui-04000439,ed:f6:5a:bd:0a:3c,1,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_LH_8_MiddleValue.jpg,2C00010001
89,13711,0,1986,2017/8/25,FALSE,13,19,19,53,WY422129243088,Maisui-04000414,f8:3c:71:1b:af:27,2,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_HCG_1_LowValue.jpg,2F00020001
438,13713,0,1996,2017/9/27,FALSE,1,66,66,150,WY673425730971,Maisui-04000171,bf:ae:8e:6a:4a:48,1,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_LH_8_MiddleValue.jpg,2C00010001
773,13715,0,1971,2017/8/1,TRUE,8,63,0,0,WY899147932996,Maisui-04000761,09:90:d7:1d:39:3a,2,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_HCG_1_LowValue.jpg,2F00020001
789,13717,0,1962,2017/10/3,TRUE,12,146,0,0,WY478450895028,Maisui-04000612,c1:d0:3b:13:4f:fd,1,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_LH_8_MiddleValue.jpg,2C00010001
108,13719,0,1984,2017/9/29,TRUE,15,166,0,0,WY779748166453,Maisui-04000595,7b:28:6b:1d:d7:42,2,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_HCG_1_LowValue.jpg,2F00020001
177,13721,0,1993,2017/9/2,FALSE,8,83,83,84,WY520499910112,Maisui-04000248,74:81:d4:49:e2:05,2,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_HCG_1_LowValue.jpg,2F00020001
654,13723,0,2002,2017/9/14,FALSE,13,15,15,20,WY321718777256,Maisui-04000565,20:de:e3:c8:e2:89,2,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_HCG_1_LowValue.jpg,2F00020001
434,13725,0,1964,2017/8/21,FALSE,1,68,68,121,WY714618552114,Maisui-04000638,cb:b1:ef:20:07:d6,1,/usr/Jmeter/apache-jmeter-3.3/data/Photo_V020_LH_8_MiddleValue.jpg,2C00010001
